ANO	SEM_NOT	Início	Término
2024	202435	2024-08-25	2024-08-31
2024	202436	2024-09-01	2024-09-07
2024	202437	2024-09-08	2024-09-14
2024	202438	2024-09-15	2024-09-21
2024	202439	2024-09-22	2024-09-28
2024	202440	2024-09-29	2024-10-05
2024	202441	2024-10-06	2024-10-12
2024	202442	2024-10-13	2024-10-19
2024	202443	2024-10-20	2024-10-26
2024	202444	2024-10-27	2024-11-02
2024	202445	2024-11-03	2024-11-09
2024	202446	2024-11-10	2024-11-16
2024	202447	2024-11-17	2024-11-23
2024	202448	2024-11-24	2024-11-30
2024	202449	2024-12-01	2024-12-07
2024	202450	2024-12-08	2024-12-14
2024	202451	2024-12-15	2024-12-21
2024	202452	2024-12-22	2024-12-28
2025	20251	2024-12-29	2025-01-04
2025	20252	2025-01-05	2025-01-11
2025	20253	2025-01-12	2025-01-18
2025	20254	2025-01-19	2025-01-25
2025	20255	2025-01-26	2025-02-01
2025	20256	2025-02-02	2025-02-08
2025	20257	2025-02-09	2025-02-15
2025	20258	2025-02-16	2025-02-22
2025	20259	2025-02-23	2025-03-01
2025	202510	2025-03-02	2025-03-08
2025	202511	2025-03-09	2025-03-15
2025	202512	2025-03-16	2025-03-22
2025	202513	2025-03-23	2025-03-29
2025	202514	2025-03-30	2025-04-05
2025	202515	2025-04-06	2025-04-12
2025	202516	2025-04-13	2025-04-19
2025	202517	2025-04-20	2025-04-26
2025	202518	2025-04-27	2025-05-03
2025	202519	2025-05-04	2025-05-10
2025	202520	2025-05-11	2025-05-17
2025	202521	2025-05-18	2025-05-24
2025	202522	2025-05-25	2025-05-31
2025	202523	2025-06-01	2025-06-07
2025	202524	2025-06-08	2025-06-14
2025	202525	2025-06-15	2025-06-21
2025	202526	2025-06-22	2025-06-28
2025	202527	2025-06-29	2025-07-05
2025	202528	2025-07-06	2025-07-12
2025	202529	2025-07-13	2025-07-19
2025	202530	2025-07-20	2025-07-26
2025	202531	2025-07-27	2025-08-02
2025	202532	2025-08-03	2025-08-09
2025	202533	2025-08-10	2025-08-16
2025	202534	2025-08-17	2025-08-23
2025	202535	2025-08-24	2025-08-30
2025	202536	2025-08-31	2025-09-06
2025	202537	2025-09-07	2025-09-13
2025	202538	2025-09-14	2025-09-20
2025	202539	2025-09-21	2025-09-27
2025	202540	2025-09-28	2025-10-04
2025	202541	2025-10-05	2025-10-11
2025	202542	2025-10-12	2025-10-18
2025	202543	2025-10-19	2025-10-25
2025	202544	2025-10-26	2025-11-01
2025	202545	2025-11-02	2025-11-08
2025	202546	2025-11-09	2025-11-15
2025	202547	2025-11-16	2025-11-22
2025	202548	2025-11-23	2025-11-29
2025	202549	2025-11-30	2025-12-06
2025	202550	2025-12-07	2025-12-13
2025	202551	2025-12-14	2025-12-20
2025	202552	2025-12-21	2025-12-27
2025	202553	2025-12-28	2026-01-03
